费用类型,金额,币种,核算周期,订单号,收款方,费用日期,备注
关税税费,534.10,CNY,202607,ORD-202607-0026,海关总署,2026-07-13,ORD-202607-0026 进口关税
关税税费,583.16,CNY,202607,ORD-202607-0031,海关总署,2026-07-16,ORD-202607-0031 进口关税
关税税费,592.42,CNY,202607,ORD-202607-0036,海关总署,2026-07-18,ORD-202607-0036 进口关税
关税税费,647.64,CNY,202607,ORD-202607-0041,海关总署,2026-07-21,ORD-202607-0041 进口关税
关税税费,730.33,CNY,202607,ORD-202607-0046,海关总署,2026-07-23,ORD-202607-0046 进口关税
关税税费,1338.38,CNY,202607,ORD-202607-0051,海关总署,2026-07-26,ORD-202607-0051 进口关税
关税税费,148.50,CNY,202607,ORD-202607-0056,海关总署,2026-07-28,ORD-202607-0056 进口关税
关税税费,319.50,CNY,202607,ORD-202607-0061,海关总署,2026-07-31,ORD-202607-0061 进口关税
平台佣金,133.70,USD,202607,ORD-202607-0001,Amazon,2026-07-03,ORD-202607-0001 平台佣金10%
平台佣金,410.64,HKD,202607,ORD-202607-0004,Shopee,2026-07-04,ORD-202607-0004 平台佣金6%
平台佣金,1161.93,JPY,202607,ORD-202607-0007,Rakuten,2026-07-06,ORD-202607-0007 平台佣金3%
平台佣金,486.60,HKD,202607,ORD-202607-0010,Shopee,2026-07-07,ORD-202607-0010 平台佣金6%
平台佣金,176.13,EUR,202607,ORD-202607-0013,eBay,2026-07-09,ORD-202607-0013 平台佣金9%
平台佣金,339.20,USD,202607,ORD-202607-0016,Amazon,2026-07-10,ORD-202607-0016 平台佣金10%
平台佣金,600.54,HKD,202607,ORD-202607-0019,Shopee,2026-07-12,ORD-202607-0019 平台佣金6%
平台佣金,421.40,USD,202607,ORD-202607-0022,Amazon,2026-07-13,ORD-202607-0022 平台佣金10%
平台佣金,676.50,HKD,202607,ORD-202607-0025,Shopee,2026-07-15,ORD-202607-0025 平台佣金6%
平台佣金,1497.72,JPY,202607,ORD-202607-0028,Rakuten,2026-07-16,ORD-202607-0028 平台佣金3%
平台佣金,752.46,HKD,202607,ORD-202607-0031,Shopee,2026-07-18,ORD-202607-0031 平台佣金6%
平台佣金,92.34,EUR,202607,ORD-202607-0034,eBay,2026-07-19,ORD-202607-0034 平台佣金9%
平台佣金,176.90,USD,202607,ORD-202607-0037,Amazon,2026-07-21,ORD-202607-0037 平台佣金10%
平台佣金,866.40,HKD,202607,ORD-202607-0040,Shopee,2026-07-22,ORD-202607-0040 平台佣金6%
平台佣金,259.10,USD,202607,ORD-202607-0043,Amazon,2026-07-24,ORD-202607-0043 平台佣金10%
平台佣金,942.36,HKD,202607,ORD-202607-0046,Shopee,2026-07-25,ORD-202607-0046 平台佣金6%
平台佣金,1833.51,JPY,202607,ORD-202607-0049,Rakuten,2026-07-27,ORD-202607-0049 平台佣金3%
平台佣金,1018.32,HKD,202607,ORD-202607-0052,Shopee,2026-07-28,ORD-202607-0052 平台佣金6%
平台佣金,260.55,EUR,202607,ORD-202607-0055,eBay,2026-07-30,ORD-202607-0055 平台佣金9%
平台佣金,464.60,USD,202607,ORD-202607-0058,Amazon,2026-07-31,ORD-202607-0058 平台佣金10%
汇兑损失,200.00,CNY,202607,,中国银行,2026-07-08,2026-07-08 汇率波动损失（公共池分摊）
汇兑损失,200.00,CNY,202607,,中国银行,2026-07-15,2026-07-15 汇率波动损失（公共池分摊）
汇兑损失,200.00,CNY,202607,,中国银行,2026-07-22,2026-07-22 汇率波动损失（公共池分摊）
汇兑损失,200.00,CNY,202607,,中国银行,2026-07-29,2026-07-29 汇率波动损失（公共池分摊）
退货损失,832.10,HKD,202607,ORD-202607-0011,Shopee,2026-07-08,ORD-202607-0011 买家退货损失
退货损失,4619.30,JPY,202607,ORD-202607-0021,Rakuten,2026-07-13,ORD-202607-0021 买家退货损失
退货损失,1254.10,HKD,202607,ORD-202607-0031,Shopee,2026-07-18,ORD-202607-0031 买家退货损失
退货损失,164.90,EUR,202607,ORD-202607-0041,eBay,2026-07-23,ORD-202607-0041 买家退货损失
退货损失,368.70,USD,202607,ORD-202607-0051,Amazon,2026-07-28,ORD-202607-0051 买家退货损失
退货损失,687.10,HKD,202607,ORD-202607-0061,Shopee,2026-07-31,ORD-202607-0061 买家退货损失
包装费,222.00,CNY,202607,ORD-202607-0001,包装材料供应商,2026-07-01,ORD-202607-0001 包装材料费
包装费,131.00,CNY,202607,ORD-202607-0005,包装材料供应商,2026-07-03,ORD-202607-0005 包装材料费
包装费,163.00,CNY,202607,ORD-202607-0009,包装材料供应商,2026-07-05,ORD-202607-0009 包装材料费
包装费,143.00,CNY,202607,ORD-202607-0013,包装材料供应商,2026-07-07,ORD-202607-0013 包装材料费
包装费,279.00,CNY,202607,ORD-202607-0017,包装材料供应商,2026-07-09,ORD-202607-0017 包装材料费
包装费,232.00,CNY,202607,ORD-202607-0021,包装材料供应商,2026-07-11,ORD-202607-0021 包装材料费
包装费,234.00,CNY,202607,ORD-202607-0025,包装材料供应商,2026-07-13,ORD-202607-0025 包装材料费
包装费,268.00,CNY,202607,ORD-202607-0029,包装材料供应商,2026-07-15,ORD-202607-0029 包装材料费
包装费,179.00,CNY,202607,ORD-202607-0033,包装材料供应商,2026-07-17,ORD-202607-0033 包装材料费
包装费,120.00,CNY,202607,ORD-202607-0037,包装材料供应商,2026-07-19,ORD-202607-0037 包装材料费
包装费,170.00,CNY,202607,ORD-202607-0041,包装材料供应商,2026-07-21,ORD-202607-0041 包装材料费
包装费,135.00,CNY,202607,ORD-202607-0045,包装材料供应商,2026-07-23,ORD-202607-0045 包装材料费
包装费,138.00,CNY,202607,ORD-202607-0049,包装材料供应商,2026-07-25,ORD-202607-0049 包装材料费
包装费,239.00,CNY,202607,ORD-202607-0053,包装材料供应商,2026-07-27,ORD-202607-0053 包装材料费
包装费,263.00,CNY,202607,ORD-202607-0057,包装材料供应商,2026-07-29,ORD-202607-0057 包装材料费
包装费,234.00,CNY,202607,ORD-202607-0061,包装材料供应商,2026-07-31,ORD-202607-0061 包装材料费
其他,200.00,CNY,202607,,杂项,2026-07-07,7月杂费（公共池分摊）
其他,150.00,CNY,202607,,杂项,2026-07-14,7月平台活动报名费（公共池分摊）
其他,300.00,CNY,202607,,杂项,2026-07-21,7月系统服务费（公共池分摊）
其他,180.00,CNY,202607,,杂项,2026-07-28,7月软件订阅费（公共池分摊）
中转手续费,50.00,CNY,202607,ORD-202607-0001,中转银行,2026-07-01,ORD-202607-0001 中转行汇款手续费
中转手续费,80.00,CNY,202607,ORD-202607-0008,中转银行,2026-07-04,ORD-202607-0008 中转行汇款手续费
中转手续费,100.00,CNY,202607,ORD-202607-0015,中转银行,2026-07-08,ORD-202607-0015 中间行扣收费用
中转手续费,120.00,CNY,202607,ORD-202607-0022,中转银行,2026-07-11,ORD-202607-0022 中转行汇款手续费
中转手续费,150.00,CNY,202607,ORD-202607-0029,中转银行,2026-07-15,ORD-202607-0029 中间行扣收费用
中转手续费,60.00,CNY,202607,ORD-202607-0036,中转银行,2026-07-18,ORD-202607-0036 中转行汇款手续费
中转手续费,70.00,CNY,202607,ORD-202607-0043,中转银行,2026-07-22,ORD-202607-0043 中转行汇款手续费
中转手续费,90.00,CNY,202607,ORD-202607-0050,中转银行,2026-07-25,ORD-202607-0050 中间行扣收费用
中转费,39.12,CNY,202607,ORD-202607-0001,中转行C,2026-07-01,ORD-202607-0001 中转手续费
中转费,52.53,CNY,202607,ORD-202607-0002,中转行A,2026-07-01,ORD-202607-0002 中转手续费
中转费,41.43,CNY,202607,ORD-202607-0003,中转行C,2026-07-02,ORD-202607-0003 中转手续费
中转费,74.67,CNY,202607,ORD-202607-0004,中转行C,2026-07-02,ORD-202607-0004 中转手续费
中转费,64.56,CNY,202607,ORD-202607-0005,中转行A,2026-07-03,ORD-202607-0005 中转手续费
中转费,37.67,CNY,202607,ORD-202607-0006,中转行A,2026-07-03,ORD-202607-0006 中转手续费
中转费,71.39,CNY,202607,ORD-202607-0007,中转行C,2026-07-04,ORD-202607-0007 中转手续费
中转费,46.28,CNY,202607,ORD-202607-0008,中转行A,2026-07-04,ORD-202607-0008 中转手续费
中转费,66.79,CNY,202607,ORD-202607-0009,中转行A,2026-07-05,ORD-202607-0009 中转手续费
中转费,43.07,CNY,202607,ORD-202607-0010,中转行B,2026-07-05,ORD-202607-0010 中转手续费
中转费,52.76,CNY,202607,ORD-202607-0011,中转行A,2026-07-06,ORD-202607-0011 中转手续费
中转费,57.57,CNY,202607,ORD-202607-0012,中转行A,2026-07-06,ORD-202607-0012 中转手续费
中转费,61.12,CNY,202607,ORD-202607-0013,中转行B,2026-07-07,ORD-202607-0013 中转手续费
中转费,58.17,CNY,202607,ORD-202607-0014,中转行A,2026-07-07,ORD-202607-0014 中转手续费
中转费,67.63,CNY,202607,ORD-202607-0015,中转行B,2026-07-08,ORD-202607-0015 中转手续费
中转费,36.45,CNY,202607,ORD-202607-0016,中转行C,2026-07-08,ORD-202607-0016 中转手续费
中转费,59.62,CNY,202607,ORD-202607-0017,中转行C,2026-07-09,ORD-202607-0017 中转手续费
中转费,35.69,CNY,202607,ORD-202607-0018,中转行C,2026-07-09,ORD-202607-0018 中转手续费
中转费,48.66,CNY,202607,ORD-202607-0019,中转行A,2026-07-10,ORD-202607-0019 中转手续费
中转费,49.07,CNY,202607,ORD-202607-0020,中转行B,2026-07-10,ORD-202607-0020 中转手续费
中转费,52.77,CNY,202607,ORD-202607-0021,中转行C,2026-07-11,ORD-202607-0021 中转手续费
中转费,59.88,CNY,202607,ORD-202607-0022,中转行B,2026-07-11,ORD-202607-0022 中转手续费
中转费,59.10,CNY,202607,ORD-202607-0023,中转行C,2026-07-12,ORD-202607-0023 中转手续费
中转费,51.87,CNY,202607,ORD-202607-0024,中转行C,2026-07-12,ORD-202607-0024 中转手续费
中转费,44.01,CNY,202607,ORD-202607-0025,中转行A,2026-07-13,ORD-202607-0025 中转手续费
中转费,67.86,CNY,202607,ORD-202607-0026,中转行B,2026-07-13,ORD-202607-0026 中转手续费
中转费,75.62,CNY,202607,ORD-202607-0027,中转行C,2026-07-14,ORD-202607-0027 中转手续费
中转费,56.56,CNY,202607,ORD-202607-0028,中转行A,2026-07-14,ORD-202607-0028 中转手续费
中转费,32.62,CNY,202607,ORD-202607-0029,中转行B,2026-07-15,ORD-202607-0029 中转手续费
中转费,51.93,CNY,202607,ORD-202607-0030,中转行A,2026-07-15,ORD-202607-0030 中转手续费
中转费,76.46,CNY,202607,ORD-202607-0031,中转行A,2026-07-16,ORD-202607-0031 中转手续费
中转费,70.89,CNY,202607,ORD-202607-0032,中转行C,2026-07-16,ORD-202607-0032 中转手续费
中转费,67.58,CNY,202607,ORD-202607-0033,中转行B,2026-07-17,ORD-202607-0033 中转手续费
中转费,41.43,CNY,202607,ORD-202607-0034,中转行C,2026-07-17,ORD-202607-0034 中转手续费
中转费,75.98,CNY,202607,ORD-202607-0035,中转行C,2026-07-18,ORD-202607-0035 中转手续费
中转费,77.88,CNY,202607,ORD-202607-0036,中转行C,2026-07-18,ORD-202607-0036 中转手续费
中转费,62.71,CNY,202607,ORD-202607-0037,中转行A,2026-07-19,ORD-202607-0037 中转手续费
中转费,41.33,CNY,202607,ORD-202607-0038,中转行A,2026-07-19,ORD-202607-0038 中转手续费
中转费,33.85,CNY,202607,ORD-202607-0039,中转行A,2026-07-20,ORD-202607-0039 中转手续费
中转费,43.10,CNY,202607,ORD-202607-0040,中转行C,2026-07-20,ORD-202607-0040 中转手续费
中转费,35.20,CNY,202607,ORD-202607-0041,中转行B,2026-07-21,ORD-202607-0041 中转手续费
中转费,78.81,CNY,202607,ORD-202607-0042,中转行C,2026-07-21,ORD-202607-0042 中转手续费
中转费,50.59,CNY,202607,ORD-202607-0043,中转行C,2026-07-22,ORD-202607-0043 中转手续费
中转费,39.38,CNY,202607,ORD-202607-0044,中转行C,2026-07-22,ORD-202607-0044 中转手续费
中转费,57.86,CNY,202607,ORD-202607-0045,中转行B,2026-07-23,ORD-202607-0045 中转手续费
中转费,65.61,CNY,202607,ORD-202607-0046,中转行B,2026-07-23,ORD-202607-0046 中转手续费
中转费,30.26,CNY,202607,ORD-202607-0047,中转行C,2026-07-24,ORD-202607-0047 中转手续费
中转费,44.63,CNY,202607,ORD-202607-0048,中转行C,2026-07-24,ORD-202607-0048 中转手续费
中转费,54.44,CNY,202607,ORD-202607-0049,中转行A,2026-07-25,ORD-202607-0049 中转手续费
中转费,60.63,CNY,202607,ORD-202607-0050,中转行C,2026-07-25,ORD-202607-0050 中转手续费
中转费,73.44,CNY,202607,ORD-202607-0051,中转行C,2026-07-26,ORD-202607-0051 中转手续费
中转费,56.55,CNY,202607,ORD-202607-0052,中转行A,2026-07-26,ORD-202607-0052 中转手续费
中转费,39.16,CNY,202607,ORD-202607-0053,中转行B,2026-07-27,ORD-202607-0053 中转手续费
中转费,49.61,CNY,202607,ORD-202607-0054,中转行A,2026-07-27,ORD-202607-0054 中转手续费
中转费,76.47,CNY,202607,ORD-202607-0055,中转行A,2026-07-28,ORD-202607-0055 中转手续费
中转费,69.81,CNY,202607,ORD-202607-0056,中转行C,2026-07-28,ORD-202607-0056 中转手续费
中转费,40.30,CNY,202607,ORD-202607-0057,中转行C,2026-07-29,ORD-202607-0057 中转手续费
中转费,68.93,CNY,202607,ORD-202607-0058,中转行B,2026-07-29,ORD-202607-0058 中转手续费
中转费,73.22,CNY,202607,ORD-202607-0059,中转行A,2026-07-30,ORD-202607-0059 中转手续费
中转费,74.17,CNY,202607,ORD-202607-0060,中转行C,2026-07-30,ORD-202607-0060 中转手续费
中转费,55.53,CNY,202607,ORD-202607-0061,中转行C,2026-07-31,ORD-202607-0061 中转手续费
中转费,60.59,CNY,202607,ORD-202607-0062,中转行C,2026-07-31,ORD-202607-0062 中转手续费
